gen,min,max,avg,std
76,-172.60881438235774,139.1295140313976,30.674465162639326,101.97574311677344
77,-208.2577496054397,139.1295140313976,51.038529966818004,99.801149933451669
78,-165.66593374059315,143.60701293104532,26.149658219772359,103.11340813292406
79,-127.12313644540907,143.60701293104532,36.254429762738482,98.81652148396681
80,-135.46453406023582,139.1295140313976,36.519310299141395,99.710249348770773
81,-139.88670838609517,139.75781305514988,27.200223862486759,102.22345909607564
82,-243.11450663678275,139.75781305514988,24.882327051811671,101.92792105015734
83,-176.76906837518865,139.75781305514988,37.018159469389559,98.905131154037718
84,-171.14080252946187,139.75781305514988,50.576534633193539,93.962427143422701
85,-132.14519515897274,139.75781305514988,36.104767456092439,99.142275928921748
86,-175.7865618305687,139.75781305514988,32.931579175978072,104.86268826541958
87,-144.4856932449396,139.75781305514988,50.262668919839861,97.923477919328576
88,-208.08552994905722,140.67502050808744,44.439499470864988,99.172895256447745
89,-172.30495085961218,140.67502050808744,48.708791835483609,97.131529846684359
90,-182.71528824726377,140.67502050808744,45.540231310726455,100.04596770906585
91,-182.65196957982693,140.67502050808744,41.315287037051924,101.26183703217492
92,-148.5067908353125,144.49385750640673,52.616248337404414,94.233976574403783
93,-182.14847971852103,144.49385750640673,53.690592412710359,95.102098635120285
94,-169.88143671188175,140.67502050808744,53.449095141291792,94.621098965160471
95,-167.7541722393126,140.67502050808744,54.75947522714246,96.651236118827754
96,-144.89404465078184,142.54463787572797,50.620687083625164,96.73480928123594
97,-161.6519888792412,140.67502050808744,57.746317604805888,94.422902079993335
98,-172.96183079508262,140.67502050808744,68.453678499574252,93.249831359857822
99,-162.2425715289022,140.67502050808744,67.377651466125002,93.356506901645133
100,-183.16279164033477,142.54463787572797,50.019646139247598,98.717562626146687
101,-169.12749357666087,142.54463787572797,53.609698489925201,97.911043208591337
102,-124.08126065938946,140.67502050808744,56.381818806666431,91.852902165686928
103,-163.90429669787352,140.67502050808744,61.833753310877725,93.712735112048165
104,-182.1985065092482,140.67502050808744,56.986944232515619,95.935172596848943
105,-182.91748452534188,143.53112709725676,52.472511780039056,93.006432867527479
106,-180.6772067097655,143.53112709725676,54.629475879140145,94.731643987942675
107,-180.26359213275356,143.53112709725676,65.755096077478811,90.563986140696002
108,-172.00880592402081,146.58364864155979,49.19292567163572,99.884865106264513
109,-133.61985854004573,143.53112709725676,72.732805537404843,88.501967828579808
110,-178.22766908789382,143.53112709725676,52.518213294084269,93.426335864518364
111,-169.10982916528317,143.53112709725676,71.953423981607799,87.586423322980664
112,-203.82002189834211,143.53112709725676,61.367532308958026,95.5666458991046
113,-128.2602896935993,143.53112709725676,73.070582959560809,88.049024299488735
114,-126.44461587384941,143.53112709725676,54.107002922611485,95.135130827809462
115,-168.63360703860499,161.74975330663307,57.86482404741686,95.44427332762956
116,-184.77912802701863,161.74975330663307,62.245950042898592,94.773084068858594
117,-180.33232523856475,161.74975330663307,58.433217785804594,98.200117168614852
118,-137.51199511110636,161.74975330663307,46.521888999311841,95.528008168492363
